brand,channel,month,contact_volume,resolution_rate,black_friday_flag
Takealot,phone,2022-01-01,2098,0.891,0
Takealot,chat,2022-01-01,1217,0.806,0
Takealot,email,2022-01-01,902,0.829,0
MrD,phone,2022-01-01,1421,0.887,0
MrD,chat,2022-01-01,841,0.811,0
MrD,email,2022-01-01,623,0.861,0
Sellers,phone,2022-01-01,439,0.861,0
Sellers,chat,2022-01-01,230,0.79,0
Sellers,email,2022-01-01,183,0.843,0
TFS,phone,2022-01-01,844,0.864,0
TFS,chat,2022-01-01,481,0.788,0
TFS,email,2022-01-01,366,0.837,0
Takealot,phone,2022-02-01,2177,0.879,0
Takealot,chat,2022-02-01,1228,0.799,0
Takealot,email,2022-02-01,983,0.82,0
MrD,phone,2022-02-01,1547,0.855,0
MrD,chat,2022-02-01,847,0.816,0
MrD,email,2022-02-01,713,0.85,0
Sellers,phone,2022-02-01,428,0.852,0
Sellers,chat,2022-02-01,257,0.796,0
Sellers,email,2022-02-01,187,0.838,0
TFS,phone,2022-02-01,834,0.884,0
TFS,chat,2022-02-01,494,0.805,0
TFS,email,2022-02-01,382,0.839,0
Takealot,phone,2022-03-01,2283,0.849,0
Takealot,chat,2022-03-01,1423,0.803,0
Takealot,email,2022-03-01,1069,0.848,0
MrD,phone,2022-03-01,1606,0.879,0
MrD,chat,2022-03-01,912,0.78,0
MrD,email,2022-03-01,684,0.825,0
Sellers,phone,2022-03-01,449,0.853,0
Sellers,chat,2022-03-01,280,0.786,0
Sellers,email,2022-03-01,200,0.834,0
TFS,phone,2022-03-01,876,0.874,0
TFS,chat,2022-03-01,520,0.811,0
TFS,email,2022-03-01,421,0.82,0
Takealot,phone,2022-04-01,2217,0.87,0
Takealot,chat,2022-04-01,1471,0.797,0
Takealot,email,2022-04-01,1093,0.81,0
MrD,phone,2022-04-01,1609,0.842,0
MrD,chat,2022-04-01,1046,0.792,0
MrD,email,2022-04-01,732,0.81,0
Sellers,phone,2022-04-01,457,0.851,0
Sellers,chat,2022-04-01,295,0.793,0
Sellers,email,2022-04-01,221,0.826,0
TFS,phone,2022-04-01,897,0.866,0
TFS,chat,2022-04-01,591,0.79,0
TFS,email,2022-04-01,437,0.827,0
Takealot,phone,2022-05-01,2273,0.858,0
Takealot,chat,2022-05-01,1380,0.775,0
Takealot,email,2022-05-01,999,0.836,0
MrD,phone,2022-05-01,1558,0.861,0
MrD,chat,2022-05-01,1055,0.78,0
MrD,email,2022-05-01,727,0.841,0
Sellers,phone,2022-05-01,441,0.844,0
Sellers,chat,2022-05-01,283,0.777,0
Sellers,email,2022-05-01,218,0.843,0
TFS,phone,2022-05-01,919,0.875,0
TFS,chat,2022-05-01,597,0.778,0
TFS,email,2022-05-01,435,0.832,0
Takealot,phone,2022-06-01,2248,0.881,0
Takealot,chat,2022-06-01,1412,0.779,0
Takealot,email,2022-06-01,993,0.832,0
MrD,phone,2022-06-01,1575,0.879,0
MrD,chat,2022-06-01,957,0.795,0
MrD,email,2022-06-01,708,0.824,0
Sellers,phone,2022-06-01,419,0.859,0
Sellers,chat,2022-06-01,300,0.788,0
Sellers,email,2022-06-01,204,0.843,0
TFS,phone,2022-06-01,860,0.884,0
TFS,chat,2022-06-01,602,0.785,0
TFS,email,2022-06-01,408,0.827,0
Takealot,phone,2022-07-01,2166,0.843,0
Takealot,chat,2022-07-01,1524,0.792,0
Takealot,email,2022-07-01,1002,0.823,0
MrD,phone,2022-07-01,1613,0.852,0
MrD,chat,2022-07-01,1018,0.792,0
MrD,email,2022-07-01,770,0.822,0
Sellers,phone,2022-07-01,450,0.872,0
Sellers,chat,2022-07-01,293,0.801,0
Sellers,email,2022-07-01,207,0.837,0
TFS,phone,2022-07-01,897,0.863,0
TFS,chat,2022-07-01,578,0.805,0
TFS,email,2022-07-01,412,0.819,0
Takealot,phone,2022-08-01,2166,0.861,0
Takealot,chat,2022-08-01,1624,0.768,0
Takealot,email,2022-08-01,1092,0.817,0
MrD,phone,2022-08-01,1612,0.844,0
MrD,chat,2022-08-01,1138,0.783,0
MrD,email,2022-08-01,796,0.813,0
Sellers,phone,2022-08-01,446,0.842,0
Sellers,chat,2022-08-01,332,0.803,0
Sellers,email,2022-08-01,212,0.834,0
TFS,phone,2022-08-01,937,0.86,0
TFS,chat,2022-08-01,640,0.777,0
TFS,email,2022-08-01,418,0.843,0
Takealot,phone,2022-09-01,2418,0.858,0
Takealot,chat,2022-09-01,1660,0.777,0
Takealot,email,2022-09-01,1157,0.839,0
MrD,phone,2022-09-01,1690,0.864,0
MrD,chat,2022-09-01,1198,0.766,0
MrD,email,2022-09-01,765,0.839,0
Sellers,phone,2022-09-01,470,0.833,0
Sellers,chat,2022-09-01,324,0.79,0
Sellers,email,2022-09-01,215,0.809,0
TFS,phone,2022-09-01,934,0.861,0
TFS,chat,2022-09-01,685,0.772,0
TFS,email,2022-09-01,462,0.812,0
Takealot,phone,2022-10-01,2430,0.852,0
Takealot,chat,2022-10-01,1879,0.786,0
Takealot,email,2022-10-01,1239,0.815,0
MrD,phone,2022-10-01,1660,0.837,0
MrD,chat,2022-10-01,1266,0.762,0
MrD,email,2022-10-01,894,0.808,0
Sellers,phone,2022-10-01,514,0.848,0
Sellers,chat,2022-10-01,381,0.773,0
Sellers,email,2022-10-01,245,0.812,0
TFS,phone,2022-10-01,959,0.851,0
TFS,chat,2022-10-01,724,0.753,0
TFS,email,2022-10-01,495,0.8,0
Takealot,phone,2022-11-01,3416,0.808,1
Takealot,chat,2022-11-01,2633,0.715,1
Takealot,email,2022-11-01,1556,0.777,1
MrD,phone,2022-11-01,2274,0.809,1
MrD,chat,2022-11-01,1852,0.734,1
MrD,email,2022-11-01,1121,0.755,1
Sellers,phone,2022-11-01,677,0.783,1
Sellers,chat,2022-11-01,489,0.722,1
Sellers,email,2022-11-01,341,0.768,1
TFS,phone,2022-11-01,1318,0.774,1
TFS,chat,2022-11-01,1023,0.74,1
TFS,email,2022-11-01,630,0.761,1
Takealot,phone,2022-12-01,3249,0.807,0
Takealot,chat,2022-12-01,2545,0.736,0
Takealot,email,2022-12-01,1564,0.759,0
MrD,phone,2022-12-01,2259,0.81,0
MrD,chat,2022-12-01,1811,0.744,0
MrD,email,2022-12-01,1112,0.768,0
Sellers,phone,2022-12-01,644,0.803,0
Sellers,chat,2022-12-01,509,0.739,0
Sellers,email,2022-12-01,329,0.761,0
TFS,phone,2022-12-01,1236,0.781,0
TFS,chat,2022-12-01,1006,0.709,0
TFS,email,2022-12-01,632,0.769,0
Takealot,phone,2023-01-01,1913,0.876,0
Takealot,chat,2023-01-01,1532,0.784,0
Takealot,email,2023-01-01,1037,0.837,0
MrD,phone,2023-01-01,1317,0.873,0
MrD,chat,2023-01-01,1156,0.791,0
MrD,email,2023-01-01,712,0.826,0
Sellers,phone,2023-01-01,373,0.874,0
Sellers,chat,2023-01-01,322,0.808,0
Sellers,email,2023-01-01,205,0.862,0
TFS,phone,2023-01-01,783,0.865,0
TFS,chat,2023-01-01,662,0.793,0
TFS,email,2023-01-01,399,0.826,0
Takealot,phone,2023-02-01,1912,0.887,0
Takealot,chat,2023-02-01,1760,0.806,0
Takealot,email,2023-02-01,1037,0.825,0
MrD,phone,2023-02-01,1357,0.858,0
MrD,chat,2023-02-01,1198,0.807,0
MrD,email,2023-02-01,744,0.829,0
Sellers,phone,2023-02-01,419,0.878,0
Sellers,chat,2023-02-01,342,0.802,0
Sellers,email,2023-02-01,207,0.828,0
TFS,phone,2023-02-01,791,0.878,0
TFS,chat,2023-02-01,648,0.783,0
TFS,email,2023-02-01,399,0.82,0
Takealot,phone,2023-03-01,2155,0.87,0
Takealot,chat,2023-03-01,1816,0.776,0
Takealot,email,2023-03-01,1099,0.831,0
