brand,channel,month,agent_hours,cost_per_hour,actual_cost,budget_cost,shared_service_allocation
Takealot,phone,2022-01-01,279.7,280.0,78316.0,68861.74,82862.16
Takealot,chat,2022-01-01,121.7,200.0,24340.0,22059.86,85594.06
Takealot,email,2022-01-01,180.4,150.0,27060.0,25641.03,83657.69
MrD,phone,2022-01-01,189.5,280.0,53060.0,48533.36,62078.71
MrD,chat,2022-01-01,84.1,200.0,16820.0,14819.53,61783.77
MrD,email,2022-01-01,124.6,150.0,18690.0,16354.48,61333.52
Sellers,phone,2022-01-01,58.5,280.0,16380.0,15288.67,25484.87
Sellers,chat,2022-01-01,23.0,200.0,4600.0,4158.39,24614.24
Sellers,email,2022-01-01,36.6,150.0,5490.0,4987.07,25208.48
TFS,phone,2022-01-01,112.5,280.0,31500.0,28445.67,41789.13
TFS,chat,2022-01-01,48.1,200.0,9620.0,8578.77,40023.55
TFS,email,2022-01-01,73.2,150.0,10980.0,9841.87,41488.5
Takealot,phone,2022-02-01,290.3,280.7,81487.21,76941.98,86671.53
Takealot,chat,2022-02-01,122.8,200.5,24621.4,23391.7,82046.58
Takealot,email,2022-02-01,196.6,150.38,29563.72,27257.59,84355.11
MrD,phone,2022-02-01,206.3,280.7,57908.41,54920.59,62553.41
MrD,chat,2022-02-01,84.7,200.5,16982.35,15118.05,62909.05
MrD,email,2022-02-01,142.6,150.38,21443.48,19656.58,62525.05
Sellers,phone,2022-02-01,57.1,280.7,16027.97,15012.29,25228.19
Sellers,chat,2022-02-01,25.7,200.5,5152.85,4546.37,24587.99
Sellers,email,2022-02-01,37.4,150.38,5624.02,5115.5,24583.75
TFS,phone,2022-02-01,111.2,280.7,31213.84,28298.2,41679.42
TFS,chat,2022-02-01,49.4,200.5,9904.7,8863.66,40950.0
TFS,email,2022-02-01,76.4,150.38,11488.65,10291.6,39809.76
Takealot,phone,2022-03-01,304.4,281.4,85658.16,74737.86,84986.13
Takealot,chat,2022-03-01,142.3,201.0,28602.3,26459.06,83830.35
Takealot,email,2022-03-01,213.8,150.75,32230.35,29758.41,80861.3
MrD,phone,2022-03-01,214.1,281.4,60247.74,54695.55,62766.42
MrD,chat,2022-03-01,91.2,201.0,18331.2,16194.71,57512.1
MrD,email,2022-03-01,136.8,150.75,20622.6,19506.61,60572.31
Sellers,phone,2022-03-01,59.9,281.4,16855.86,15061.2,24274.76
Sellers,chat,2022-03-01,28.0,201.0,5628.0,5211.31,24226.72
Sellers,email,2022-03-01,40.0,150.75,6030.0,5298.42,25162.1
TFS,phone,2022-03-01,116.8,281.4,32867.52,29410.14,39813.16
TFS,chat,2022-03-01,52.0,201.0,10452.0,9514.99,39603.05
TFS,email,2022-03-01,84.2,150.75,12693.15,11420.67,38727.71
Takealot,phone,2022-04-01,295.6,282.1,83388.76,79872.41,83923.13
Takealot,chat,2022-04-01,147.1,201.5,29640.65,26757.88,84224.24
Takealot,email,2022-04-01,218.6,151.12,33035.92,28529.96,86835.76
MrD,phone,2022-04-01,214.5,282.1,60510.45,54480.57,58331.83
MrD,chat,2022-04-01,104.6,201.5,21076.9,18987.02,57118.26
MrD,email,2022-04-01,146.4,151.12,22124.7,19868.62,58071.27
Sellers,phone,2022-04-01,60.9,282.1,17179.89,15630.02,23998.6
Sellers,chat,2022-04-01,29.5,201.5,5944.25,5384.82,25889.24
Sellers,email,2022-04-01,44.2,151.12,6679.72,6199.91,25420.21
TFS,phone,2022-04-01,119.6,282.1,33739.16,29771.01,41585.34
TFS,chat,2022-04-01,59.1,201.5,11908.65,10229.64,38831.55
TFS,email,2022-04-01,87.4,151.12,13208.32,11421.25,40332.17
Takealot,phone,2022-05-01,303.1,282.8,85716.68,79237.25,87698.27
Takealot,chat,2022-05-01,138.0,202.0,27876.0,24801.32,83977.39
Takealot,email,2022-05-01,199.8,151.5,30269.7,27454.24,86055.27
MrD,phone,2022-05-01,207.7,282.8,58737.56,53330.28,59616.76
MrD,chat,2022-05-01,105.5,202.0,21311.0,19563.65,61581.63
MrD,email,2022-05-01,145.4,151.5,22028.1,19911.63,59924.59
Sellers,phone,2022-05-01,58.8,282.8,16628.64,15846.3,24813.03
Sellers,chat,2022-05-01,28.3,202.0,5716.6,4962.65,25104.09
Sellers,email,2022-05-01,43.6,151.5,6605.4,6010.19,24098.39
TFS,phone,2022-05-01,122.5,282.8,34643.0,33174.83,40102.76
TFS,chat,2022-05-01,59.7,202.0,12059.4,10588.98,38073.56
TFS,email,2022-05-01,87.0,151.5,13180.5,12150.14,40306.07
Takealot,phone,2022-06-01,299.7,283.5,84964.95,76363.22,86287.07
Takealot,chat,2022-06-01,141.2,202.5,28593.0,26311.12,80843.46
Takealot,email,2022-06-01,198.6,151.88,30162.38,27291.51,88178.07
MrD,phone,2022-06-01,210.0,283.5,59535.0,54956.22,60990.22
MrD,chat,2022-06-01,95.7,202.5,19379.25,17602.6,59512.62
MrD,email,2022-06-01,141.6,151.88,21505.5,19446.7,57281.8
Sellers,phone,2022-06-01,55.9,283.5,15847.65,14241.14,23957.0
Sellers,chat,2022-06-01,30.0,202.5,6075.0,5514.51,24723.24
Sellers,email,2022-06-01,40.8,151.88,6196.5,5511.83,25547.61
TFS,phone,2022-06-01,114.7,283.5,32517.45,29288.56,39904.2
TFS,chat,2022-06-01,60.2,202.5,12190.5,11506.04,40930.29
TFS,email,2022-06-01,81.6,151.88,12393.0,10795.5,39049.06
Takealot,phone,2022-07-01,288.8,284.2,82076.96,73636.05,84969.11
Takealot,chat,2022-07-01,152.4,203.0,30937.2,28160.81,87302.75
