brand,month,order_volume,returns_volume,promo_flag,black_friday_flag
Takealot,2022-01-01,66560,6558,0,0
MrD,2022-01-01,101951,8682,0,0
Sellers,2022-01-01,4239,422,0,0
TFS,2022-01-01,12744,1103,0,0
Takealot,2022-02-01,89443,7585,1,0
MrD,2022-02-01,129712,10711,1,0
Sellers,2022-02-01,5422,450,1,0
TFS,2022-02-01,16276,1510,1,0
Takealot,2022-03-01,73398,6379,0,0
MrD,2022-03-01,114912,10282,0,0
Sellers,2022-03-01,4723,394,0,0
TFS,2022-03-01,13770,1112,0,0
Takealot,2022-04-01,76352,6533,0,0
MrD,2022-04-01,114585,9370,0,0
Sellers,2022-04-01,4757,424,0,0
TFS,2022-04-01,14348,1252,0,0
Takealot,2022-05-01,76895,7213,0,0
MrD,2022-05-01,112132,10763,0,0
Sellers,2022-05-01,4841,395,0,0
TFS,2022-05-01,14738,1450,0,0
Takealot,2022-06-01,91281,7807,1,0
MrD,2022-06-01,143208,13599,1,0
Sellers,2022-06-01,5748,483,1,0
TFS,2022-06-01,17441,1564,1,0
Takealot,2022-07-01,77828,6800,0,0
MrD,2022-07-01,115659,10981,0,0
Sellers,2022-07-01,4695,399,0,0
TFS,2022-07-01,14675,1436,0,0
Takealot,2022-08-01,100612,9119,1,0
MrD,2022-08-01,147257,13098,1,0
Sellers,2022-08-01,6296,534,1,0
TFS,2022-08-01,18590,1627,1,0
Takealot,2022-09-01,81218,7020,0,0
MrD,2022-09-01,123268,10668,0,0
Sellers,2022-09-01,5107,499,0,0
TFS,2022-09-01,15768,1475,0,0
Takealot,2022-10-01,91866,8265,0,0
MrD,2022-10-01,132092,11986,0,0
Sellers,2022-10-01,5673,538,0,0
TFS,2022-10-01,16861,1391,0,0
Takealot,2022-11-01,239518,28742,0,1
MrD,2022-11-01,361009,43321,0,1
Sellers,2022-11-01,15299,1835,0,1
TFS,2022-11-01,45693,5483,0,1
Takealot,2022-12-01,116882,11656,0,0
MrD,2022-12-01,177972,15082,0,0
Sellers,2022-12-01,7192,597,0,0
TFS,2022-12-01,21769,1811,0,0
Takealot,2023-01-01,73393,6289,0,0
MrD,2023-01-01,110001,10772,0,0
Sellers,2023-01-01,4557,412,0,0
TFS,2023-01-01,13949,1389,0,0
Takealot,2023-02-01,95262,8378,1,0
MrD,2023-02-01,150421,14637,1,0
Sellers,2023-02-01,6211,528,1,0
TFS,2023-02-01,17926,1673,1,0
Takealot,2023-03-01,84304,7683,0,0
MrD,2023-03-01,123809,10597,0,0
Sellers,2023-03-01,5219,437,0,0
TFS,2023-03-01,15246,1349,0,0
Takealot,2023-04-01,85539,7257,0,0
MrD,2023-04-01,125286,11552,0,0
Sellers,2023-04-01,5275,483,0,0
TFS,2023-04-01,15698,1406,0,0
Takealot,2023-05-01,84484,6846,0,0
MrD,2023-05-01,125240,10355,0,0
Sellers,2023-05-01,5131,512,0,0
TFS,2023-05-01,15641,1504,0,0
Takealot,2023-06-01,101237,9478,1,0
MrD,2023-06-01,156531,14387,1,0
Sellers,2023-06-01,6410,565,1,0
TFS,2023-06-01,19090,1882,1,0
Takealot,2023-07-01,86319,8571,0,0
MrD,2023-07-01,124098,11741,0,0
Sellers,2023-07-01,5429,453,0,0
TFS,2023-07-01,15457,1465,0,0
Takealot,2023-08-01,110533,10703,1,0
MrD,2023-08-01,161494,15488,1,0
Sellers,2023-08-01,6754,562,1,0
TFS,2023-08-01,20217,1946,1,0
Takealot,2023-09-01,92373,8356,0,0
MrD,2023-09-01,136037,13269,0,0
Sellers,2023-09-01,5679,547,0,0
TFS,2023-09-01,17087,1495,0,0
Takealot,2023-10-01,98478,8471,0,0
MrD,2023-10-01,150249,13530,0,0
Sellers,2023-10-01,6069,594,0,0
TFS,2023-10-01,18377,1669,0,0
Takealot,2023-11-01,271531,32583,0,1
MrD,2023-11-01,400563,48067,0,1
Sellers,2023-11-01,16185,1942,0,1
TFS,2023-11-01,51011,6121,0,1
Takealot,2023-12-01,129686,11243,0,0
MrD,2023-12-01,188871,18109,0,0
Sellers,2023-12-01,8101,734,0,0
TFS,2023-12-01,24701,2365,0,0
