brand,channel,month,csat_score,nps_score,first_contact_resolution
Takealot,phone,2022-01-01,7.79,44.3,0.82
Takealot,chat,2022-01-01,7.93,40.8,0.76
Takealot,email,2022-01-01,8.02,42.3,0.739
MrD,phone,2022-01-01,7.74,41.8,0.821
MrD,chat,2022-01-01,7.58,37.1,0.782
MrD,email,2022-01-01,7.79,39.4,0.746
Sellers,phone,2022-01-01,8.33,56.9,0.816
Sellers,chat,2022-01-01,8.42,54.0,0.775
Sellers,email,2022-01-01,8.43,57.5,0.713
TFS,phone,2022-01-01,7.04,29.8,0.826
TFS,chat,2022-01-01,6.96,33.8,0.764
TFS,email,2022-01-01,7.04,30.6,0.73
Takealot,phone,2022-02-01,7.94,43.1,0.846
Takealot,chat,2022-02-01,7.89,45.9,0.774
Takealot,email,2022-02-01,7.78,45.5,0.714
MrD,phone,2022-02-01,7.72,38.2,0.845
MrD,chat,2022-02-01,7.74,40.8,0.771
MrD,email,2022-02-01,7.52,36.4,0.726
Sellers,phone,2022-02-01,8.17,57.1,0.823
Sellers,chat,2022-02-01,8.49,56.8,0.772
Sellers,email,2022-02-01,8.15,58.1,0.747
TFS,phone,2022-02-01,7.09,31.6,0.84
TFS,chat,2022-02-01,6.97,31.0,0.756
TFS,email,2022-02-01,6.95,30.2,0.712
Takealot,phone,2022-03-01,7.67,40.5,0.845
Takealot,chat,2022-03-01,7.88,45.4,0.754
Takealot,email,2022-03-01,7.79,42.7,0.724
MrD,phone,2022-03-01,7.41,39.5,0.815
MrD,chat,2022-03-01,7.61,39.5,0.742
MrD,email,2022-03-01,7.39,40.3,0.725
Sellers,phone,2022-03-01,8.09,58.6,0.809
Sellers,chat,2022-03-01,8.34,58.5,0.746
Sellers,email,2022-03-01,8.12,53.4,0.719
TFS,phone,2022-03-01,6.9,31.8,0.809
TFS,chat,2022-03-01,7.07,33.6,0.769
TFS,email,2022-03-01,7.11,29.5,0.731
Takealot,phone,2022-04-01,7.85,42.0,0.809
Takealot,chat,2022-04-01,7.99,42.1,0.742
Takealot,email,2022-04-01,7.79,41.9,0.737
MrD,phone,2022-04-01,7.63,40.0,0.804
MrD,chat,2022-04-01,7.51,38.3,0.735
MrD,email,2022-04-01,7.44,40.0,0.709
Sellers,phone,2022-04-01,8.25,53.7,0.804
Sellers,chat,2022-04-01,8.14,58.3,0.766
Sellers,email,2022-04-01,8.42,55.3,0.708
TFS,phone,2022-04-01,7.06,30.1,0.838
TFS,chat,2022-04-01,6.88,30.3,0.74
TFS,email,2022-04-01,6.97,31.8,0.723
Takealot,phone,2022-05-01,7.81,41.9,0.824
Takealot,chat,2022-05-01,7.97,44.9,0.774
Takealot,email,2022-05-01,7.97,41.5,0.733
MrD,phone,2022-05-01,7.53,37.1,0.839
MrD,chat,2022-05-01,7.37,41.0,0.754
MrD,email,2022-05-01,7.61,39.5,0.741
Sellers,phone,2022-05-01,8.31,56.2,0.808
Sellers,chat,2022-05-01,8.26,53.5,0.765
