brand,month,contact_volume,total_volume,volume_weight,channel_adjusted_weight,shared_pool,volume_allocated_cost,channel_allocated_cost,allocation_difference
MrD,2022-01-01,2885,9645,0.2991187143597719,0.2983770724277386,635918.6799999999,190215.18,189743.55,-471.63
MrD,2022-02-01,3107,10077,0.3083258906420562,0.3083638198561877,637899.84,196681.04,196705.23,24.19
MrD,2022-03-01,3202,10723,0.29861046348969505,0.3011460000951038,622336.11,185836.07,187414.03,1577.96
MrD,2022-04-01,3387,11066,0.3060726549792156,0.30763451603658865,624561.6,191161.23,192136.71,975.48
MrD,2022-05-01,3340,10885,0.30684428112080847,0.3055503336779773,631351.81,193726.69,192909.76,-816.93
MrD,2022-06-01,3240,10686,0.30320044918585065,0.30415925887539763,627204.64,190168.73,190770.1,601.37
MrD,2022-07-01,3401,10930,0.3111619396157365,0.3112549605892436,639583.42,199014.02,199073.51,59.49
MrD,2022-08-01,3546,11413,0.3106983264698151,0.3107092407520716,640508.62,199004.96,199011.95,6.99
MrD,2022-09-01,3653,11978,0.30497578894640176,0.3058913739850799,645366.21,196821.07,197411.96,590.89
MrD,2022-10-01,3820,12686,0.30111934415891534,0.3000082160267295,631854.63,190263.65,189561.58,-702.07
MrD,2022-11-01,5247,17330,0.30276976341604156,0.3012087797152121,638463.4400000001,193307.42,192310.79,-996.63
MrD,2022-12-01,5182,16896,0.3066998106060606,0.30657626840488433,628843.48,192866.18,192788.49,-77.69
MrD,2023-01-01,3185,10411,0.3059264239746422,0.30508232406854874,631570.95,193214.24,192681.13,-533.11
MrD,2023-02-01,3299,10814,0.3050675050859996,0.3043023651660804,633290.6,193196.38,192711.83,-484.55
MrD,2023-03-01,3450,11465,0.3009158307893589,0.2996934649166393,625582.12,188247.56,187482.87,-764.69
MrD,2023-04-01,3631,11935,0.3042312526183494,0.3070780532598715,628831.66,191310.24,193100.4,1790.16
MrD,2023-05-01,3621,11835,0.30595690747782,0.30714423262083573,628397.93,192262.69,193008.8,746.11
MrD,2023-06-01,3487,11497,0.3032965121336001,0.3028757809628813,625867.58,189823.45,189560.13,-263.32
MrD,2023-07-01,3543,11647,0.30419850605306087,0.3039988522931485,624422.0,189948.24,189823.57,-124.67
MrD,2023-08-01,3804,12009,0.31676242817886585,0.3175711109633864,639891.37,202693.54,203211.01,517.47
MrD,2023-09-01,3857,12737,0.3028185601004946,0.3008207379650732,628700.1,190382.06,189126.03,-1256.03
MrD,2023-10-01,4205,13993,0.3005073965554206,0.30144120140486863,625687.89,188023.84,188608.11,584.27
MrD,2023-11-01,5702,18469,0.3087335535221181,0.31079740037359904,626032.5,193277.24,194569.27,1292.03
