brand,month,scenario,forecast_volume,adjusted_volume,volume_multiplier,occupancy,required_hours,gross_hours,headcount,monthly_cost
MrD,2024-01-01,Base,3438,3438.0,1.0,0.85,463.0,544.7,5,140000
MrD,2024-01-01,Growth,3438,4126.0,1.2,0.85,555.6,653.6,5,140000
MrD,2024-01-01,Stress,3438,4813.0,1.4,0.8,648.2,810.2,7,196000
Sellers,2024-01-01,Base,980,980.0,1.0,0.85,132.0,155.3,2,56000
Sellers,2024-01-01,Growth,980,1176.0,1.2,0.85,158.4,186.3,2,56000
Sellers,2024-01-01,Stress,980,1372.0,1.4,0.8,184.8,231.0,2,56000
TFS,2024-01-01,Base,2043,2043.0,1.0,0.85,275.1,323.7,3,84000
TFS,2024-01-01,Growth,2043,2452.0,1.2,0.85,330.1,388.4,3,84000
TFS,2024-01-01,Stress,2043,2860.0,1.4,0.8,385.2,481.5,4,112000
Takealot,2024-01-01,Base,4911,4911.0,1.0,0.85,661.3,778.1,6,168000
Takealot,2024-01-01,Growth,4911,5893.0,1.2,0.85,793.6,933.7,8,224000
Takealot,2024-01-01,Stress,4911,6875.0,1.4,0.8,925.9,1157.4,9,252000
MrD,2024-02-01,Base,3606,3606.0,1.0,0.85,485.6,571.3,5,140000
MrD,2024-02-01,Growth,3606,4327.0,1.2,0.85,582.7,685.6,6,168000
MrD,2024-02-01,Stress,3606,5048.0,1.4,0.8,679.9,849.8,7,196000
Sellers,2024-02-01,Base,1024,1024.0,1.0,0.85,137.9,162.2,2,56000
Sellers,2024-02-01,Growth,1024,1229.0,1.2,0.85,165.5,194.7,2,56000
Sellers,2024-02-01,Stress,1024,1434.0,1.4,0.8,193.1,241.3,2,56000
TFS,2024-02-01,Base,2049,2049.0,1.0,0.85,275.9,324.6,3,84000
TFS,2024-02-01,Growth,2049,2459.0,1.2,0.85,331.1,389.6,3,84000
TFS,2024-02-01,Stress,2049,2869.0,1.4,0.8,386.3,482.9,4,112000
Takealot,2024-02-01,Base,5111,5111.0,1.0,0.85,688.3,809.7,7,196000
Takealot,2024-02-01,Growth,5111,6133.0,1.2,0.85,825.9,971.7,8,224000
Takealot,2024-02-01,Stress,5111,7155.0,1.4,0.8,963.6,1204.5,10,280000
MrD,2024-03-01,Base,3729,3729.0,1.0,0.85,502.2,590.8,5,140000
MrD,2024-03-01,Growth,3729,4475.0,1.2,0.85,602.6,708.9,6,168000
MrD,2024-03-01,Stress,3729,5221.0,1.4,0.8,703.0,878.8,7,196000
Sellers,2024-03-01,Base,1067,1067.0,1.0,0.85,143.7,169.0,2,56000
Sellers,2024-03-01,Growth,1067,1280.0,1.2,0.85,172.4,202.9,2,56000
Sellers,2024-03-01,Stress,1067,1494.0,1.4,0.8,201.2,251.5,2,56000
TFS,2024-03-01,Base,2158,2158.0,1.0,0.85,290.6,341.9,3,84000
TFS,2024-03-01,Growth,2158,2590.0,1.2,0.85,348.7,410.3,4,112000
TFS,2024-03-01,Stress,2158,3021.0,1.4,0.8,406.9,508.6,4,112000
Takealot,2024-03-01,Base,5484,5484.0,1.0,0.85,738.5,868.8,7,196000
Takealot,2024-03-01,Growth,5484,6581.0,1.2,0.85,886.2,1042.6,8,224000
Takealot,2024-03-01,Stress,5484,7678.0,1.4,0.8,1033.9,1292.4,10,280000
MrD,2024-04-01,Base,3912,3912.0,1.0,0.85,526.8,619.8,5,140000
MrD,2024-04-01,Growth,3912,4694.0,1.2,0.85,632.2,743.7,6,168000
MrD,2024-04-01,Stress,3912,5477.0,1.4,0.8,737.5,921.9,7,196000
Sellers,2024-04-01,Base,1096,1096.0,1.0,0.85,147.6,173.6,2,56000
Sellers,2024-04-01,Growth,1096,1315.0,1.2,0.85,177.1,208.4,2,56000
Sellers,2024-04-01,Stress,1096,1534.0,1.4,0.8,206.6,258.3,2,56000
TFS,2024-04-01,Base,2278,2278.0,1.0,0.85,306.8,360.9,3,84000
TFS,2024-04-01,Growth,2278,2734.0,1.2,0.85,368.1,433.1,4,112000
TFS,2024-04-01,Stress,2278,3189.0,1.4,0.8,429.5,536.8,5,140000
Takealot,2024-04-01,Base,5558,5558.0,1.0,0.85,748.5,880.6,7,196000
Takealot,2024-04-01,Growth,5558,6670.0,1.2,0.85,898.2,1056.7,9,252000
Takealot,2024-04-01,Stress,5558,7781.0,1.4,0.8,1047.9,1309.8,10,280000
MrD,2024-05-01,Base,3884,3884.0,1.0,0.85,523.0,615.3,5,140000
MrD,2024-05-01,Growth,3884,4661.0,1.2,0.85,627.7,738.4,6,168000
MrD,2024-05-01,Stress,3884,5438.0,1.4,0.8,732.3,915.3,7,196000
Sellers,2024-05-01,Base,1094,1094.0,1.0,0.85,147.3,173.3,2,56000
Sellers,2024-05-01,Growth,1094,1313.0,1.2,0.85,176.8,208.0,2,56000
Sellers,2024-05-01,Stress,1094,1532.0,1.4,0.8,206.3,257.8,2,56000
TFS,2024-05-01,Base,2264,2264.0,1.0,0.85,304.9,358.7,3,84000
TFS,2024-05-01,Growth,2264,2717.0,1.2,0.85,365.9,430.4,4,112000
TFS,2024-05-01,Stress,2264,3170.0,1.4,0.8,426.8,533.5,5,140000
Takealot,2024-05-01,Base,5462,5462.0,1.0,0.85,735.5,865.4,7,196000
Takealot,2024-05-01,Growth,5462,6554.0,1.2,0.85,882.7,1038.4,8,224000
Takealot,2024-05-01,Stress,5462,7647.0,1.4,0.8,1029.8,1287.2,10,280000
MrD,2024-06-01,Base,3767,3767.0,1.0,0.85,507.3,596.8,5,140000
MrD,2024-06-01,Growth,3767,4520.0,1.2,0.85,608.7,716.2,6,168000
MrD,2024-06-01,Stress,3767,5274.0,1.4,0.8,710.2,887.8,7,196000
Sellers,2024-06-01,Base,1056,1056.0,1.0,0.85,142.2,167.3,2,56000
Sellers,2024-06-01,Growth,1056,1267.0,1.2,0.85,170.6,200.8,2,56000
Sellers,2024-06-01,Stress,1056,1478.0,1.4,0.8,199.1,248.9,2,56000
TFS,2024-06-01,Base,2189,2189.0,1.0,0.85,294.8,346.8,3,84000
TFS,2024-06-01,Growth,2189,2627.0,1.2,0.85,353.7,416.2,4,112000
TFS,2024-06-01,Stress,2189,3065.0,1.4,0.8,412.7,515.9,4,112000
Takealot,2024-06-01,Base,5424,5424.0,1.0,0.85,730.4,859.3,7,196000
Takealot,2024-06-01,Growth,5424,6509.0,1.2,0.85,876.5,1031.2,8,224000
Takealot,2024-06-01,Stress,5424,7594.0,1.4,0.8,1022.6,1278.3,10,280000
